"modalite","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"Cooperative",-0.730454535131909,0.460065896916591,0.271145613809117,-0.125545391312343,1.01163852558535
"Entreprise Individuelle",-0.0497125292797601,-0.424447709958623,-0.335260720488956,0.83575038409213,0.25555273117226
"GIC",-0.472876449751646,-0.903381828821214,1.13781012321138,-0.748446194292876,-0.246442920940933
"GIE",-0.127635716416846,-0.595262421677919,-0.502535066905966,-0.789442896072027,1.60363030809301
"SA",0.46923928074295,2.33361950763297,1.94142030525171,1.87567243290183,-1.51905390474587
"SARL",0.472430149983339,0.362576435205414,-0.497880711634502,-0.431350233094257,-0.45345885617431
"SUARL/SARLU",1.12444080512918,-0.312067353400592,-0.299862595628623,-0.465806904616408,0.433114076830795
"Adamaoua",-0.439593129594514,-0.167465246723524,0.18053588243803,1.06343064512223,0.909657285265536
"Centre",0.139852237499292,0.00412502386964232,-0.511601317038694,0.195568688577752,-0.169070393017792
"Est",-0.400631097690481,0.289418998230308,0.149858205440311,-0.461758478509752,0.525116132022894
"Extreme-Nord",-0.52902926261402,0.0740685522670071,0.526353711408587,0.286366594564001,0.965337878297452
"Littoral",0.492997940923016,0.501305182931912,-0.287420908920434,-0.663825591211703,-0.514038393777353
"Nord",-0.432669995295248,-0.0236244920573605,-0.20254689058143,0.0215793384137547,0.887519821543051
"Nord-Ouest",-0.350204915080183,1.27111327524287,0.701477689608385,-0.326192118895496,0.842112239541862
"Ouest",-0.0846027971078658,-1.38418251018268,1.38606555446861,-0.755726112811066,-0.277560780655556
"Sud",-0.362110054042659,-0.626636520102069,0.779496829713967,0.390435153925698,-1.12196064734842
"Sud-Ouest",0.0193140204131272,1.00137789592768,0.71236600418792,-0.285307374048853,0.985967582650062
"Grande Entreprise",-0.0317961918996353,1.40691046735728,1.66961059863471,2.89050061671536,-1.92965611714154
"Moyenne Entreprise",0.0553117506593187,0.991663876726002,0.402343275789708,-0.0675215050611919,0.0440138019655751
"Petite Entreprise",0.0402341489137055,-0.207265070925712,-0.0652678805705342,-0.175140790353006,0.222201982752761
"Tres Petite Entreprise",-0.128782131930408,-0.436339048380373,-0.275937131758649,0.273099925793405,-0.405750853561584
"10 a 19 ans",-0.123558033531946,0.318712009818934,0.199825121951164,-0.523634656448697,0.66431393752188
"20 ans et plus",0.0344150037030212,0.688446741304637,1.09780231076871,-0.0469303937071374,-0.331784439932884
"3 a 4 ans",0.0476631775030281,-0.0613372080941859,-0.453847717879967,0.470804386067623,0.41808103621502
"5 a 9 ans",-0.0531624381754314,-0.0339010569281595,-0.393986793714028,0.00979659126804687,-0.293434598506176
"Moins de 3 ans",0.242672203079069,-0.590944675116482,0.676340125923727,0.22418399612649,-0.436474471220943
"Non renseigne",0.233614045631474,-1.15743678608394,1.73771249090954,-0.636265304470771,-1.08703571620244
"Agriculture et Agroalimentaire",-0.473004116579208,-0.106100775812158,0.0844465241276797,-0.119494806675519,0.020474581562382
"Art, culture locale, etc.",0.120557277635636,-0.458950708653662,-0.918643391412842,2.09662246146256,1.12840653549392
"Commerce de detail et de gros",0.521080866879335,-0.615369176962208,0.629931004471109,0.465734018557905,0.233322654396419
"Construction et genie civil",0.945185843641488,0.599979562577716,-0.4699750121224,-0.698106526112866,0.0129741384754432
"Education et formation",0.763678504801705,-0.10689379077679,-0.831554177895667,-0.0671808288259877,1.08632383909267
"Energie et services publics",0.67188385197086,0.658725535726951,-1.5142116086876,-0.903157909694814,0.167593341005066
"Industrie manufacturiere",-0.0297009572539108,0.856366668178057,-0.344815900146506,0.294641861624273,-1.45728634514025
"Medias et divertissement",1.37493150644916,-1.88753322302047,0.121176213418671,3.06200980423641,-0.687052767507183
"Sante et services medicaux",0.657638418765928,-0.359337298813254,-0.531323131029752,-0.19493565665716,-1.06421873075902
"Secteur minier et extraction",0.927361991436944,2.39984093796833,3.18411666964655,6.39642429535555,-1.87985017656809
"Services financiers et bancaires",1.75615627943023,2.7892712328178,2.69969087002435,0.357865780998576,1.22728372816408
"Services immobiliers",2.12158729912304,1.00092053295401,-0.147222441763665,-0.314425508660776,2.52690089442354
"Services professionnels (consulting, comptabilite, etc.)",1.49577553423544,-0.379373686456482,-0.767985787543007,-0.283840033996413,0.329891999588436
"Technologies de l'information et de la communication (TIC)",1.40578218208944,0.126107227912818,-0.40316787276866,0.178667513844291,-0.68600074360738
"Tourisme et hotellerie",1.03717135096607,-0.377400171934847,-0.525378304864632,0.690209341468279,1.09320048416511
"Transport et logistique",1.51440241170206,1.16556130916404,-0.331554427855372,-0.970312460868653,-0.292524220137839
"besoin_intrants_Non",0.585439330866198,-0.162060115683598,0.110401023069877,0.0178411522758523,0.195878359564997
"besoin_intrants_Oui",-0.581529886252735,0.160977911238298,-0.1096637875235,-0.0177220126947117,-0.194570323774912
"besoin_financement_Non",1.16156857579317,-1.03459432833887,-0.377460927076331,-0.0187749007306001,0.100392453074642
"besoin_financement_Oui",-0.0454922418717952,0.0405193601177102,0.014783065029099,0.000735309428091332,-0.00393181931101726
"besoin_emballages_Non",0.92035455984622,-0.0344485069082091,0.116144875225883,-0.0136909851813739,0.184392504159184
"besoin_emballages_Oui",-0.556666064423116,0.0208357904686748,-0.070248916467268,0.00828083781131504,-0.11152772428983
"besoin_transport_Non",0.633452522190331,-0.114978364009605,0.0560657758360816,-0.037293881928258,0.00026750372610689
"besoin_transport_Oui",-0.650660060993463,0.118101715154177,-0.057588785026874,0.0383069585171411,-0.000274770380807257
"besoin_appui_entreprise_Non",0.563444546292857,-0.330181177317158,0.147609419061312,0.0462360767351183,-0.0905343493066587
"besoin_appui_entreprise_Oui",-0.264049658225804,0.154734352469663,-0.0691748938036405,-0.0216678293186715,0.0424275363909426
"besoin_equipements_Non",2.06286065032317,0.791141750401252,0.462281914395344,0.0895976276201663,0.462485491075908
"besoin_equipements_Oui",-0.154111101689309,-0.0591041991748908,-0.0345359125965921,-0.00669361214444123,-0.0345511212954998
"besoin_innovation_recherche_Non",0.882115835129065,-0.123305422623978,0.0472152689129825,0.0625453962635422,0.0157611981496187
"besoin_innovation_recherche_Oui",-0.576674063962491,0.0806096391669234,-0.0308664915885442,-0.0408884030974951,-0.010303719565956
